LastName, FirstName, Email, FavoriteColor, DateOfBirth
Blake, Henry, henry@4077.mash, DarkSalmon, 01/23/1921
Burns, Frank, ferret.face@4077.mash, DarkTurquoise, 04/22/1920
Houlihan, Margaret, hot.lips@4077.mash, LightYellow2, 03/05/1924
Cutler, Margie, margie@4077.mash, AntiqueWhite4, 01/15/1937
Scorch, Leslie, leslie@4077.mash, MediumSeaGreen, 09/18/1920
Dish, Karen, dish@4077.mash, RosyBrown3, 06/03/1923
Gage, Bobbie, gage@4077.mash, MediumPurple2, 08/09/1924
Stevens, Patricia, stevens@4077.mash, MistyRose, 12/18/1939
Watson, Sheila, watson@4077.mash, LightGoldenrodYellow, 01/17/1926
Pierce, Benjamin, hawkeye@4077.mash, OrangeRed4, 02/02/1937
McIntyre, John, trapper@4077.mash, SlateBlue1, 01/08/1926
Mulcahy, Francis, father@4077.mash, MistyRose4, 06/17/1937
Tuttle, Jonathan, tuttle@4077.mash, DarkOliveGreen4, 09/23/1925
